id,archivo,offset,tipo,longitud_original,texto_original,traduccion_ia,traduccion
61,STGDATA.BIN,0x037784,dialogo,50,Melee attacks must be made adjacent to[NL]the target.,,
62,STGDATA.BIN,0x0377B8,dialogo,50,"What's wrong, [NAME_START][NAME_END]?[NL]We need some melee attacks, too.",,
63,STGDATA.BIN,0x0377EC,dialogo,39,"What's wrong, [NAME_START][NAME_END]?[NL]Use the shotgun, too.",,
64,STGDATA.BIN,0x037814,menu,67,"With multiple weapons, press [0x08][NAME_END][0x02] to open[NL]the weapon selection menu,",,
65,STGDATA.BIN,0x037858,dialogo,53,"and hold [0x08][NAME_END][0x02], while pressing up or down[NL]to change it.",,
66,STGDATA.BIN,0x03788E,menu,60,Select the weapon and release [0x08][NAME_END][0x02] to[NL]confirm your selection.,,
67,STGDATA.BIN,0x0378CC,dialogo,53,"and hold [0x08][NAME_END][0x02], while pressing up or down to[NL]change it.",,
68,STGDATA.BIN,0x037902,dialogo,64,Receiving damage in combat will reduce the[NL]HP of specific parts.,,
69,STGDATA.BIN,0x037944,dialogo,66,"When HP reaches 0, the part will be[NL]destroyed and become unusable.",,
70,STGDATA.BIN,0x037988,dialogo,74,"If the body reaches 0 HP, that unit is[NL]destroyed and removed from the map.",,
71,STGDATA.BIN,0x0379D4,menu,74,"If the arm reaches 0 HP, the weapons[NL]equipped on that arm become unusable.",,
72,STGDATA.BIN,0x037A20,dialogo,62,"If the legs reach 0 HP, the unit's movement[NL]is reduced to one.",,
73,STGDATA.BIN,0x037A60,dialogo,29,[0x18]   Final check will begin.[0x13]@,,
74,STGDATA.BIN,0x037A7E,dialogo,25,"[0x18]All staff, take cover.[0x13][0x80]",,
75,STGDATA.BIN,0x037CC8,dialogo,10,# of turns,,
76,STGDATA.BIN,0x037CD4,dialogo,13,NPC remaining,,
77,STGDATA.BIN,0x037CE2,dialogo,16,Obstacles destro,,
78,STGDATA.BIN,0x037F14,dialogo,9,Drake M2C,,
79,STGDATA.BIN,0x03806C,dialogo,10,Rekson M4F,,
80,STGDATA.BIN,0x0380F8,dialogo,6,Lai Fa,,
81,STGDATA.BIN,0x03810A,dialogo,9,Prov PAW2,,
82,STGDATA.BIN,0x0381C0,dialogo,9,Pare PAW1,,
83,STGDATA.BIN,0x038244,dialogo,11,ÿÿXiang Mei,,
84,STGDATA.BIN,0x0382F8,dialogo,10,Foura M12A,,
85,STGDATA.BIN,0x03839C,dialogo,10,Grapple M1,,
86,STGDATA.BIN,0x038442,dialogo,11,Meledyne M1,,
87,STGDATA.BIN,0x0384DE,dialogo,10,ÿÿHei Fong,,
88,STGDATA.BIN,0x0384F8,dialogo,9,Shangdi 1,,
89,STGDATA.BIN,0x0386DE,dialogo,10,ÿÿXiao Hua,,
90,STGDATA.BIN,0x0386F8,dialogo,7,Tieqi 4,,
91,STGDATA.BIN,0x0387AC,dialogo,10,Enyo Mk109,,
92,STGDATA.BIN,0x038864,dialogo,9,Isao W008,,
93,STGDATA.BIN,0x038906,dialogo,9,Isao W008,,
94,STGDATA.BIN,0x0395BC,dialogo,13,[0x99][0x0D]Jinyo Mk110,,
95,STGDATA.BIN,0x043320,dialogo,14, ¬[0x90]>[0x10]ðo>[0x13][0x1C]à< ¬,,
96,STGDATA.BIN,0x0438AC,dialogo,21,¸¯Î1¾;\=¦[¯[0x0E]ÀSC8½oã[0x06]ÿ,,
97,STGDATA.BIN,0x04578F,dialogo,15,[NEWLINE] o'o[NL][0x10][0x0C][0x0F] X0û o,,
98,STGDATA.BIN,0x0457AF,dialogo,15,[0x14][0x1F]o[0x1F]X[NAME_START][NL][0x0D][0x0C] X0û o,,
99,STGDATA.BIN,0x0457DF,sistema,15,[CMD] X o[0x09][0x02][0x08][0x03] X0û o,,
100,STGDATA.BIN,0x0519FC,dialogo,19,ÐHïHÐoïo [NAME_END]³[NAME_END]§[NAME_END]¶[NAME_END]C}8,,
101,STGDATA.BIN,0x051CF8,dialogo,15,_ @ _?@?f[NAME_END]i[NAME_END]Ñ[NAME_END]ð,,
102,STGDATA.BIN,0x053220,dialogo,7,ope[0x80] $!,,
103,STGDATA.BIN,0x05622C,dialogo,13,aaa[0x04]7[0x18]7/ [0x18] /ô,,
104,STGDATA.BIN,0x05707A,dialogo,35,[0x18][0x0E]h[NAME_END]p[NAME_END]c[NAME_END]j[NAME_END]p[NAME_END]q[NAME_END]j[NAME_END]m[NAME_END]q[NAME_END]r[NAME_END]m[NAME_END]n[NAME_END]r[NAME_END]i[NAME_END]n[NAME_END]e[NAME_END]ð,,
105,STGDATA.BIN,0x05AB54,dialogo,57,c[NAME_END]d[NAME_END]e[NAME_END]f[NAME_END]g[NAME_END]h[NAME_END]i[NAME_END]j[NAME_END]k[NAME_END]l[NAME_END]m[NAME_END]n[NAME_END]o[NAME_END]p[NAME_END]q[NAME_END]r[NAME_END]É[NAME_END]Ì[NAME_END]Í[NAME_END]Ñ[NAME_END]Ò[NAME_END]ö[NAME_END]÷[NAME_END]ø[NAME_END]ù[NAME_END][0x04][0x02][ITEM_END][0x02]-[0x02][0x0E],,
106,STGDATA.BIN,0x05AD12,dialogo,47,S[NAME_END]T[NAME_END]U[NAME_END]V[NAME_END]W[NAME_END]X[NAME_END]Y[NAME_END]Z[NAME_END][[NAME_END]\[NAME_END]][NAME_END]^[NAME_END]_[NAME_END]`[NAME_END]a[NAME_END]b[NAME_END]Ê[NAME_END]Ë[NAME_END]Î[NAME_END]Ï[NAME_END]Ð[NAME_END]Ó[NAME_END][0x06][0x02][0x0E],,
107,STGDATA.BIN,0x05B161,dialogo,26,PUUUUUUUUUUUUU[0x05]3333SUUUef[0x06],,
108,STGDATA.BIN,0x05B91E,dialogo,41,Main Map 000B[NL]Yokosuka Base wanzer hangar,,
109,STGDATA.BIN,0x05B948,dialogo,18,Under construction,,
110,STGDATA.BIN,0x05B964,dialogo,10,Play debug,,
111,STGDATA.BIN,0x05B978,dialogo,11,Sound check,,
112,STGDATA.BIN,0x05B9AC,dialogo,10,ID please.,,
113,STGDATA.BIN,0x05B9BE,dialogo,71,We're with Kirishima Industries.[NL]We're here to deliver the new[NL]wanzers.,,
114,STGDATA.BIN,0x05BA06,dialogo,42,"Kirishima... Oh, yes,[NL]we're expecting you.",,
115,STGDATA.BIN,0x05BA36,dialogo,44,Looks like our job's done.[NL]We're outta here.,,
116,STGDATA.BIN,0x05BA68,dialogo,16,What are you on?,,
117,STGDATA.BIN,0x05BA7A,menu,27,"[NAME_START][NAME_END], [NAME_START][0x03],[NL]unload the wanzers.",,
118,STGDATA.BIN,0x05BA96,dialogo,13,More work...?,,
119,STGDATA.BIN,0x05BAA4,dialogo,23,Just shut up and do it.,,
120,STGDATA.BIN,0x05BABC,dialogo,15,An explosion!?[0x18],,
121,STGDATA.BIN,0x05BACC,sistema,38,[0x18]Accidental explosion on the base.[CMD][NAME_END][0x13]0,,
122,STGDATA.BIN,0x05BAF4,sistema,39,[0x18]All available personnel report in.[CMD][NAME_END][0x13]0,,
123,STGDATA.BIN,0x05BB1C,sistema,41,[0x18]There is risk of a second explosion.[CMD][NAME_END][0x13]0,,
124,STGDATA.BIN,0x05BB46,sistema,42,[0x18]All non-essential personnel evacuate.[CMD][NAME_END][0x13]@,,
125,STGDATA.BIN,0x05BB72,dialogo,14,What happened?,,
126,STGDATA.BIN,0x05BB82,dialogo,23,Looks like an accident.,,
127,STGDATA.BIN,0x05BB9A,dialogo,91,The defense system is activating![NL]What's going on!?[NEWLINE]We've got civilians here![NL]Shut it down!,,
128,STGDATA.BIN,0x05BBF6,dialogo,45,It's no use![NL]It's not accepting any commands!,,
129,STGDATA.BIN,0x05BC24,dialogo,58,Tell the helicopters to take off![NL]It's too dangerous here!,,
130,STGDATA.BIN,0x05BC60,dialogo,26,"You, too![NL]Get out of here!",,
131,STGDATA.BIN,0x05BC7C,dialogo,37,[0x18]Awww man! We're bein' left behind![0x13] ,,
132,STGDATA.BIN,0x05BCA2,dialogo,62,"Dude, be careful![NL]That cannon got screwed up in the[NL]explosion.",,
133,STGDATA.BIN,0x05BCE2,dialogo,21,We've got to stop it!,,
134,STGDATA.BIN,0x05BCF8,dialogo,46,"No way, man![NL]You want us to fight that thing!?",,
135,STGDATA.BIN,0x05BD28,dialogo,57,It's better than just waiting for[NL]it to kill us! Move it!,,
136,STGDATA.BIN,0x05BD62,dialogo,34,"Jeez... yes, sir, Mr. Soldier Boy!",,
137,STGDATA.BIN,0x05BD88,mision,106,[NL][NL]   Winning conditions:[NL][NL]    {Destroy all cannons.[NL][NL][NL]   Losing conditions:[NL][NL]    {Player pilots destroyed.,,
138,STGDATA.BIN,0x05BDF4,dialogo,23,   Received [ITEM_START]Repair[ITEM_END]   ,,
139,STGDATA.BIN,0x05BE0C,dialogo,25,  Received [ITEM_START]Repair Max[ITEM_END]  ,,
140,STGDATA.BIN,0x05BE26,dialogo,26,  Received [ITEM_START]Restore Low[ITEM_END]  ,,
141,STGDATA.BIN,0x05BE42,dialogo,27,  Received [ITEM_START]Restore High[ITEM_END]  ,,
142,STGDATA.BIN,0x05BE5E,dialogo,22,Special Forces Soldier,,
143,STGDATA.BIN,0x05BE76,dialogo,24,You![NL]Drop your weapons!!,,
144,STGDATA.BIN,0x05BE90,dialogo,34,Wait![NL]We didn't do anything wrong.,,
145,STGDATA.BIN,0x05BEB4,dialogo,64,They're civilian test pilots.[NL]We asked them to stop the[NL]cannons.,,
146,STGDATA.BIN,0x05BEF6,dialogo,61,We'll take care of the rest.[NL]Have the civilians take shelter!,,
147,STGDATA.BIN,0x05BF34,dialogo,50,An explosion in the base.[NL]Somethin's got to be up!,,
148,STGDATA.BIN,0x05BF68,dialogo,22,Special Forces Officer,,
149,STGDATA.BIN,0x05BF80,dialogo,59,You civilians don't need to[NL]concern yourselves any further.,,
150,STGDATA.BIN,0x05BFBC,dialogo,26,Who do you think you are!?,,
151,STGDATA.BIN,0x05BFD8,dialogo,59,The base is still dangerous.[NL]Leave the wanzers and get out.,,
152,STGDATA.BIN,0x05C014,dialogo,33,The nerve of you![NL]We almost died!,,
153,STGDATA.BIN,0x05C036,dialogo,56,You stick around any longer and[NL]you're really gonna die.,,
154,STGDATA.BIN,0x05C070,dialogo,18,Is that a threat!?,,
155,STGDATA.BIN,0x05C084,dialogo,34,We'll comply.[NL]We'll leave at once.,,
156,STGDATA.BIN,0x05C0A8,dialogo,54,"Calm down, [NAME_START][NAME_END]![NL]The company will take care of the[NL]rest.",,
157,STGDATA.BIN,0x05C0E0,dialogo,46,"No, I don't get it![NL]They didn't even thank us!",,
158,STGDATA.BIN,0x05C110,dialogo,37,"Forget it, man![NL]They mean business...",,
159,STGDATA.BIN,0x05C394,dialogo,10,# of turns,,
160,STGDATA.BIN,0x05C3A0,dialogo,13,NPC remaining,,
161,STGDATA.BIN,0x05C3AE,dialogo,16,Obstacles destro,,
162,STGDATA.BIN,0x05C5E0,dialogo,9,Drake M2C,,
163,STGDATA.BIN,0x05C738,dialogo,10,Rekson M4F,,
164,STGDATA.BIN,0x05C7C4,dialogo,6,Lai Fa,,
165,STGDATA.BIN,0x05C7D6,dialogo,9,Prov PAW2,,
166,STGDATA.BIN,0x05C88C,dialogo,9,Pare PAW1,,
167,STGDATA.BIN,0x05C910,dialogo,11,ÿÿXiang Mei,,
168,STGDATA.BIN,0x05C9C4,dialogo,10,Foura M12A,,
169,STGDATA.BIN,0x05CA68,dialogo,10,Grapple M1,,
170,STGDATA.BIN,0x05CB0E,dialogo,11,Meledyne M1,,
171,STGDATA.BIN,0x05CBAA,dialogo,10,ÿÿHei Fong,,
172,STGDATA.BIN,0x05CBC4,dialogo,9,Shangdi 1,,
173,STGDATA.BIN,0x05CDAA,dialogo,10,ÿÿXiao Hua,,
174,STGDATA.BIN,0x05CDC4,dialogo,7,Tieqi 4,,
175,STGDATA.BIN,0x05CE78,dialogo,10,Enyo Mk109,,
176,STGDATA.BIN,0x05CF30,dialogo,9,Isao W008,,
177,STGDATA.BIN,0x05CFD2,dialogo,9,Isao W008,,
178,STGDATA.BIN,0x06021C,dialogo,5,ÿ[0x81]u X,,
179,STGDATA.BIN,0x0609FA,dialogo,11,e$WZR Pilot,,
180,STGDATA.BIN,0x060A9C,dialogo,12,·$Enyo Mk109,,
181,STGDATA.BIN,0x064690,dialogo,24,"a¨[0x03]?£³ó>""[0x1B]~[NAME_END]KwN[0x09]µtN[0x09]Þ[0x18]~[NAME_END]",,
182,STGDATA.BIN,0x064A4B,dialogo,27,>íóp[0x02]òga[NAME_END][0x14]´Ï[NAME_END][0x14]´Ï>ø·Ï>ø·Ï[NAME_END]úÀ,,
183,STGDATA.BIN,0x065908,dialogo,18,"""""'':[0x1F]3 [0x09][0x0C][0x1C][ITEM_END]*o[0x17]y*^",,
184,STGDATA.BIN,0x065944,dialogo,18,+[0x17]*[NEWLINE]%o*o![0x15] [0x17]GQ[0x17]y[0x7F]P,,
185,STGDATA.BIN,0x06718C,dialogo,21,¸¯Î1¾;\=¦[¯[0x0E]ÀSC8½oã[0x06]ÿ,,
186,STGDATA.BIN,0x06906F,dialogo,15,[NEWLINE] o'o[NL][0x10][0x0C][0x0F] X0û o,,
187,STGDATA.BIN,0x06908F,dialogo,15,[0x14][0x1F]o[0x1F]X[NAME_START][NL][0x0D][0x0C] X0û o,,
188,STGDATA.BIN,0x0690BF,sistema,15,[CMD] X o[0x09][0x02][0x08][0x03] X0û o,,
189,STGDATA.BIN,0x0695F8,dialogo,21,¸¯Î1¾;\=¦[¯[0x0E]ÀSC8½oã[0x06]ÿ,,
190,STGDATA.BIN,0x07D82C,dialogo,19,@À@ÿ_À_ÿò[0x02]è[0x02]w[0x03]u[0x03]Áx7,,
191,STGDATA.BIN,0x07D874,dialogo,19,À_À@ß_ß@o[0x03]x[0x03]p[0x03]{[0x03]Áx7,,
192,STGDATA.BIN,0x07E294,dialogo,19,@è_è@ï_ï;[0x02]h[0x02]<[0x02]a[0x02]Áy8,,
193,STGDATA.BIN,0x07E2DC,dialogo,19,×?ß?× ß /[0x02]d[0x02]0[0x02]i[0x02]Bz8,,
194,STGDATA.BIN,0x07E36C,dialogo,19,×?× ß?ß 2[0x02]5[0x02]e[0x02]n[0x02]Bz8,,
195,STGDATA.BIN,0x07E876,dialogo,97,²[NAME_END]¹[NAME_END]}[NAME_END]±[NAME_END]³[NAME_END]|[NAME_END]~[NAME_END]³[NAME_END]d[NAME_END]~[NAME_END]c[NAME_END]d[NAME_END]e[NAME_END]c[NAME_END]f[NAME_END]e[NAME_END]´[NAME_END]f[NAME_END]«[NAME_END]´[NAME_END]i[NAME_END]«[NAME_END]h[NAME_END]i[NAME_END]j[NAME_END]h[NAME_END]g[NAME_END]j[NAME_END]µ[NAME_END]g[NAME_END]¶[NAME_END]µ[NAME_END]­[NAME_END]¶[NAME_END]®[NAME_END]¬[NAME_END]½[NAME_END]¯[NAME_END]¾[NAME_END]½[NAME_END]¿[NAME_END]¾[NAME_END]À[NAME_END]¿[NAME_END]º[NAME_END]À[NAME_END]»[NAME_END]º[NAME_END]½,,
196,STGDATA.BIN,0x07E8EA,sistema,115,"b[NAME_END]a[NAME_END]¹[NAME_END]b[NAME_END]![NAME_END]¹[NAME_END]}[NAME_END]![NAME_END][CMD][NAME_END]|[NAME_END]~[NAME_END]k[NAME_END]n[NAME_END]~[NAME_END]c[NAME_END]n[NAME_END]o[NAME_END]c[NAME_END]f[NAME_END]o[NAME_END]q[NAME_END]f[NAME_END]«[NAME_END]q[NAME_END]¨[NAME_END]«[NAME_END]h[NAME_END]¨[NAME_END]©[NAME_END]h[NAME_END]g[NAME_END]©[NAME_END]·[NAME_END]g[NAME_END]¶[NAME_END]·[NAME_END]¸[NAME_END]¶[NAME_END]®[NAME_END]¸[NAME_END]°[NAME_END]¯[NAME_END]¾[NAME_END][0x10][NAME_END][0x14][NAME_END]¾[NAME_END]À[NAME_END][0x14][NAME_END]Á[NAME_END]À[NAME_END]»[NAME_END]Á[NAME_END]¼[NAME_END]»[NAME_END][NL][NAME_END]¼[NAME_END][0x08][NAME_END]""",,
197,STGDATA.BIN,0x07E966,dialogo,51,b[NAME_END]([NAME_END]#[NAME_END]b[NAME_END]![NAME_END]#[NAME_END] [NAME_END]ì[0x05]í[0x05]î[0x05]ï[0x05]k[NAME_END]n[NAME_END]l[NAME_END]m[NAME_END]n[NAME_END]o[NAME_END]m[NAME_END]p[NAME_END]o[NAME_END]q[NAME_END]p[NAME_END]r[NAME_END]s[NAME_END]§[NAME_END][0x0D],,
198,STGDATA.BIN,0x085576,dialogo,34,What were you doing in this place?,,
199,STGDATA.BIN,0x08559E,dialogo,14,...You'll see.,,
200,STGDATA.BIN,0x0855AE,dialogo,23,   Received [ITEM_START]Repair[ITEM_END]   ,,
201,STGDATA.BIN,0x0855C6,dialogo,25,  Received [ITEM_START]Repair Max[ITEM_END]  ,,
202,STGDATA.BIN,0x0855E0,dialogo,26,  Received [ITEM_START]Restore Low[ITEM_END]  ,,
203,STGDATA.BIN,0x0855FC,dialogo,27,  Received [ITEM_START]Restore High[ITEM_END]  ,,
204,STGDATA.BIN,0x08584A,dialogo,10,# of turns,,
205,STGDATA.BIN,0x085856,dialogo,13,NPC remaining,,
206,STGDATA.BIN,0x085864,dialogo,16,Obstacles destro,,
207,STGDATA.BIN,0x085A96,dialogo,9,Drake M2C,,
208,STGDATA.BIN,0x085BEE,dialogo,10,Rekson M4F,,
209,STGDATA.BIN,0x085C7A,dialogo,6,Lai Fa,,
210,STGDATA.BIN,0x085C8C,dialogo,9,Prov PAW2,,
211,STGDATA.BIN,0x085D42,dialogo,9,Pare PAW1,,
212,STGDATA.BIN,0x085DC6,dialogo,11,ÿÿXiang Mei,,
213,STGDATA.BIN,0x085E7A,dialogo,10,Foura M12A,,
214,STGDATA.BIN,0x085F1E,dialogo,10,Grapple M1,,
215,STGDATA.BIN,0x085FC4,dialogo,11,Meledyne M1,,
216,STGDATA.BIN,0x086060,dialogo,10,ÿÿHei Fong,,
217,STGDATA.BIN,0x08607A,dialogo,9,Shangdi 1,,
218,STGDATA.BIN,0x086260,dialogo,10,ÿÿXiao Hua,,
219,STGDATA.BIN,0x08627A,dialogo,7,Tieqi 4,,
220,STGDATA.BIN,0x08632E,dialogo,10,Enyo Mk109,,
221,STGDATA.BIN,0x0863E6,dialogo,9,Isao W008,,
222,STGDATA.BIN,0x086488,dialogo,9,Isao W008,,
223,STGDATA.BIN,0x0878BC,dialogo,12,Y[0x11]Enyo Mk109,,
224,STGDATA.BIN,0x08AA60,dialogo,24,"a¨[0x03]?£³ó>""[0x1B]~[NAME_END]KwN[0x09]µtN[0x09]Þ[0x18]~[NAME_END]",,
225,STGDATA.BIN,0x08B740,dialogo,43,ô7@;ô×ÿ:öëo:ö3 :[0x0C]Ôÿ:[NL]èo:[0x0C]4@;[NL]0 :-¬¯>-[0x9C]¯>-[0x9C][0x0F],,
226,STGDATA.BIN,0x08E504,dialogo,14,×aÍÍ [0x1F]+[0x02]Ìw[0x17]|×w,,
227,STGDATA.BIN,0x0A0A00,dialogo,19,ø@ø_ÿ@ÿ_b[0x03]c[0x03]e[0x03]d[0x03]Cy5,,
228,STGDATA.BIN,0x0A0A6C,dialogo,19,ÿ@ø@ÿ_ø_h[0x03]i[0x03]j[0x03]æ[0x02]Cy5,,
229,STGDATA.BIN,0x0A0B20,dialogo,19,ÿ@ÿ`ø@ø`a[0x03]k[0x03]`[0x03]n[0x03]Cy5,,
230,STGDATA.BIN,0x0A0B44,dialogo,19,ÿ@ÿ_ø@ø_3[0x03]4[0x03]o[0x03]p[0x03]Cy5,,
231,STGDATA.BIN,0x0A22E3,dialogo,12,¿o[NAME_END]p[NAME_END]![NAME_END] [NAME_END]Äx7,,
232,STGDATA.BIN,0x0A3774,dialogo,19,àøàÿÀøÀÿe[0x04]j[0x04]P[0x04]Q[0x04]Â{6,,
233,STGDATA.BIN,0x0AABE6,dialogo,74,This sure is an extravagant[NL]facility...[NL]I've got a bad feeling about this.,,
